Frequency (Hz)	Level (dB)
46.875000	-44.823215
93.750000	-51.378830
140.625000	-57.841988
187.500000	-60.843418
234.375000	-62.292511
281.250000	-62.938030
328.125000	-63.993553
375.000000	-64.803375
421.875000	-64.870392
468.750000	-65.505615
515.625000	-65.913094
562.500000	-66.080475
609.375000	-66.885880
656.250000	-67.472275
703.125000	-67.549171
750.000000	-67.668724
796.875000	-68.157028
843.750000	-68.539703
890.625000	-68.690231
937.500000	-68.958626
984.375000	-69.420692
1031.250000	-69.586685
1078.125000	-69.503151
1125.000000	-70.370903
1171.875000	-70.698441
1218.750000	-70.683098
1265.625000	-70.632607
1312.500000	-71.068367
1359.375000	-71.436333
1406.250000	-71.413536
1453.125000	-71.556885
1500.000000	-71.726234
1546.875000	-72.226601
1593.750000	-72.570198
1640.625000	-72.606857
1687.500000	-73.147591
1734.375000	-73.362091
1781.250000	-73.728218
1828.125000	-73.439285
1875.000000	-73.223625
1921.875000	-73.717514
1968.750000	-74.272369
2015.625000	-74.965294
2062.500000	-75.192947
2109.375000	-74.937332
2156.250000	-75.363724
2203.125000	-75.392906
2250.000000	-75.303505
2296.875000	-75.506134
2343.750000	-75.508194
2390.625000	-75.734818
2437.500000	-75.974442
2484.375000	-76.079346
2531.250000	-76.056938
2578.125000	-75.972672
2625.000000	-76.658066
2671.875000	-76.578178
2718.750000	-76.268272
2765.625000	-76.439140
2812.500000	-76.873573
2859.375000	-76.882706
2906.250000	-76.464935
2953.125000	-76.508347
3000.000000	-76.530579
3046.875000	-76.852890
3093.750000	-76.744072
3140.625000	-76.733444
3187.500000	-76.785439
3234.375000	-77.081650
3281.250000	-77.572975
3328.125000	-77.166000
3375.000000	-77.358574
3421.875000	-77.450577
3468.750000	-77.858749
3515.625000	-77.951836
3562.500000	-77.926552
3609.375000	-77.827591
3656.250000	-78.051468
3703.125000	-77.980972
3750.000000	-78.141083
3796.875000	-78.593575
3843.750000	-78.567833
3890.625000	-78.977341
3937.500000	-78.600410
3984.375000	-78.303177
4031.250000	-78.665924
4078.125000	-79.045769
4125.000000	-79.271194
4171.875000	-79.001968
4218.750000	-78.925896
4265.625000	-78.871254
4312.500000	-79.183121
4359.375000	-78.730621
4406.250000	-79.046135
4453.125000	-79.533112
4500.000000	-79.309929
4546.875000	-79.385788
4593.750000	-79.868439
4640.625000	-79.918953
4687.500000	-79.885651
4734.375000	-79.776695
4781.250000	-79.786430
4828.125000	-80.056122
4875.000000	-80.174431
4921.875000	-80.332283
4968.750000	-80.343719
5015.625000	-80.404793
5062.500000	-80.655777
5109.375000	-80.644402
5156.250000	-80.719841
5203.125000	-80.644020
5250.000000	-80.607162
5296.875000	-80.926743
5343.750000	-81.264603
5390.625000	-81.304245
5437.500000	-81.111069
5484.375000	-81.292656
5531.250000	-81.315392
5578.125000	-81.381691
5625.000000	-81.508247
5671.875000	-81.715569
5718.750000	-81.938377
5765.625000	-82.219826
5812.500000	-82.481918
5859.375000	-82.438972
5906.250000	-82.573761
5953.125000	-82.510056
6000.000000	-82.321846
6046.875000	-82.794319
6093.750000	-82.945435
6140.625000	-83.185966
6187.500000	-83.188210
6234.375000	-83.301651
6281.250000	-83.229019
6328.125000	-82.994629
6375.000000	-83.570442
6421.875000	-83.947067
6468.750000	-84.561485
6515.625000	-84.292839
6562.500000	-84.472214
6609.375000	-84.263016
6656.250000	-84.656990
6703.125000	-85.036736
6750.000000	-84.828613
6796.875000	-84.737572
6843.750000	-85.382256
6890.625000	-85.339233
6937.500000	-84.930962
6984.375000	-85.007072
7031.250000	-85.870842
7078.125000	-85.744026
7125.000000	-85.969170
7171.875000	-86.469833
7218.750000	-86.269493
7265.625000	-86.175720
7312.500000	-86.459694
7359.375000	-86.564919
7406.250000	-86.952156
7453.125000	-86.814835
7500.000000	-87.006149
7546.875000	-87.121414
7593.750000	-86.638504
7640.625000	-86.695045
7687.500000	-87.180321
7734.375000	-88.093399
7781.250000	-88.196762
7828.125000	-87.834190
7875.000000	-87.814232
7921.875000	-87.550133
7968.750000	-87.617905
8015.625000	-87.832718
8062.500000	-87.865120
8109.375000	-87.996002
8156.250000	-88.186684
8203.125000	-88.344681
8250.000000	-88.431343
8296.875000	-88.349785
8343.750000	-88.573570
8390.625000	-88.869537
8437.500000	-88.893799
8484.375000	-89.146416
8531.250000	-89.320732
8578.125000	-89.861847
8625.000000	-89.754570
8671.875000	-89.434875
8718.750000	-89.737518
8765.625000	-90.109604
8812.500000	-89.792572
8859.375000	-89.679558
8906.250000	-89.813393
8953.125000	-90.031799
9000.000000	-90.291016
9046.875000	-90.361984
9093.750000	-90.412338
9140.625000	-90.543579
9187.500000	-90.597473
9234.375000	-90.605774
9281.250000	-90.891037
9328.125000	-91.391319
9375.000000	-91.351967
9421.875000	-91.192719
9468.750000	-91.710495
9515.625000	-92.072281
9562.500000	-91.891846
9609.375000	-91.292908
9656.250000	-91.656662
9703.125000	-91.743126
9750.000000	-92.023659
9796.875000	-92.341660
9843.750000	-92.361519
9890.625000	-91.659058
9937.500000	-91.531914
9984.375000	-91.899452
10031.250000	-92.086105
10078.125000	-92.310913
10125.000000	-92.305244
10171.875000	-92.557503
10218.750000	-93.106659
10265.625000	-93.307358
10312.500000	-93.217079
10359.375000	-93.016411
10406.250000	-93.428375
10453.125000	-93.767143
10500.000000	-93.670021
10546.875000	-93.922546
10593.750000	-94.250130
10640.625000	-94.338173
10687.500000	-94.943176
10734.375000	-94.641655
10781.250000	-94.675529
10828.125000	-94.543030
10875.000000	-94.901138
10921.875000	-95.093307
10968.750000	-95.762390
11015.625000	-95.833260
11062.500000	-96.121384
11109.375000	-95.932930
11156.250000	-95.457466
11203.125000	-95.791779
11250.000000	-96.052063
11296.875000	-96.505928
11343.750000	-96.897186
11390.625000	-96.498108
11437.500000	-96.677589
11484.375000	-97.293808
11531.250000	-97.235802
11578.125000	-97.407967
11625.000000	-97.537064
11671.875000	-97.782539
11718.750000	-98.467110
11765.625000	-98.399895
11812.500000	-98.739372
11859.375000	-98.958931
11906.250000	-98.928902
11953.125000	-98.817123
12000.000000	-99.055695
12046.875000	-99.111595
12093.750000	-99.509544
12140.625000	-99.721413
12187.500000	-99.766838
12234.375000	-99.658157
12281.250000	-100.078224
12328.125000	-100.163795
12375.000000	-100.215294
12421.875000	-100.560486
12468.750000	-100.158440
12515.625000	-100.484138
12562.500000	-101.233643
12609.375000	-101.534294
12656.250000	-101.822037
12703.125000	-101.678001
12750.000000	-101.712852
12796.875000	-101.922966
12843.750000	-101.675941
12890.625000	-101.672150
12937.500000	-101.728348
12984.375000	-101.999657
13031.250000	-102.555260
