Frequency (Hz)	Level (dB)
46.875000	-58.356430
93.750000	-58.073532
140.625000	-57.410629
187.500000	-58.424339
234.375000	-59.141388
281.250000	-59.418224
328.125000	-60.216846
375.000000	-59.898808
421.875000	-60.350018
468.750000	-61.115601
515.625000	-61.646500
562.500000	-62.085228
609.375000	-62.135620
656.250000	-62.474438
703.125000	-63.036068
750.000000	-63.272301
796.875000	-63.191299
843.750000	-63.472656
890.625000	-64.056107
937.500000	-64.068848
984.375000	-64.324081
1031.250000	-64.468719
1078.125000	-64.845818
1125.000000	-65.457764
1171.875000	-65.409058
1218.750000	-65.748871
1265.625000	-66.318047
1312.500000	-66.491844
1359.375000	-66.255730
1406.250000	-66.194275
1453.125000	-67.099747
1500.000000	-67.534721
1546.875000	-67.366501
1593.750000	-67.495064
1640.625000	-67.826019
1687.500000	-67.919472
1734.375000	-68.311302
1781.250000	-68.336853
1828.125000	-68.265228
1875.000000	-68.620872
1921.875000	-68.839668
1968.750000	-69.485229
2015.625000	-69.514191
2062.500000	-69.205605
2109.375000	-69.168816
2156.250000	-69.408157
2203.125000	-68.851791
2250.000000	-69.163132
2296.875000	-69.306923
2343.750000	-69.628136
2390.625000	-69.789360
2437.500000	-69.572227
2484.375000	-69.748260
2531.250000	-69.555801
2578.125000	-69.348885
2625.000000	-69.315338
2671.875000	-69.273445
2718.750000	-69.287025
2765.625000	-69.611305
2812.500000	-69.516769
2859.375000	-69.352631
2906.250000	-69.096336
2953.125000	-69.319115
3000.000000	-69.174156
3046.875000	-69.209694
3093.750000	-69.224960
3140.625000	-69.519073
3187.500000	-69.394524
3234.375000	-69.425560
3281.250000	-69.723129
3328.125000	-69.683098
3375.000000	-69.570030
3421.875000	-69.783920
3468.750000	-69.721611
3515.625000	-70.111641
3562.500000	-70.369705
3609.375000	-70.595451
3656.250000	-71.068016
3703.125000	-70.831505
3750.000000	-70.749001
3796.875000	-70.926888
3843.750000	-71.115768
3890.625000	-71.252167
3937.500000	-71.435715
3984.375000	-71.356758
4031.250000	-71.101578
4078.125000	-70.765228
4125.000000	-71.060318
4171.875000	-71.300613
4218.750000	-71.309906
4265.625000	-71.357307
4312.500000	-71.855988
4359.375000	-71.532333
4406.250000	-71.374672
4453.125000	-71.690811
4500.000000	-71.804466
4546.875000	-71.732948
4593.750000	-71.861519
4640.625000	-71.796318
4687.500000	-71.574455
4734.375000	-72.043457
4781.250000	-72.192955
4828.125000	-71.984299
4875.000000	-72.406784
4921.875000	-72.550323
4968.750000	-72.196800
5015.625000	-72.177368
5062.500000	-72.284988
5109.375000	-72.503853
5156.250000	-72.602852
5203.125000	-72.851395
5250.000000	-72.871445
5296.875000	-72.907707
5343.750000	-72.451622
5390.625000	-72.405701
5437.500000	-73.129791
5484.375000	-73.553535
5531.250000	-73.841202
5578.125000	-73.793800
5625.000000	-74.119438
5671.875000	-74.290916
5718.750000	-74.087578
5765.625000	-74.133774
5812.500000	-74.543900
5859.375000	-74.353012
5906.250000	-74.388527
5953.125000	-74.430214
6000.000000	-75.004143
6046.875000	-75.149727
6093.750000	-74.910416
6140.625000	-74.972008
6187.500000	-75.308601
6234.375000	-75.620979
6281.250000	-75.667809
6328.125000	-75.408501
6375.000000	-75.888916
6421.875000	-76.222282
6468.750000	-76.110832
6515.625000	-75.760551
6562.500000	-75.854164
6609.375000	-75.980423
6656.250000	-76.314308
6703.125000	-76.642403
6750.000000	-77.125526
6796.875000	-77.034355
6843.750000	-76.993958
6890.625000	-77.305855
6937.500000	-77.213959
6984.375000	-76.862518
7031.250000	-77.452614
7078.125000	-78.070808
7125.000000	-78.052132
7171.875000	-78.004822
7218.750000	-78.240623
7265.625000	-78.225822
7312.500000	-78.476776
7359.375000	-78.682442
7406.250000	-78.714661
7453.125000	-78.505615
7500.000000	-78.292259
7546.875000	-78.671928
7593.750000	-78.698463
7640.625000	-78.502434
7687.500000	-78.762894
7734.375000	-78.920746
7781.250000	-78.896973
7828.125000	-79.374863
7875.000000	-79.706161
7921.875000	-79.530899
7968.750000	-79.493530
8015.625000	-79.396507
8062.500000	-79.730728
8109.375000	-79.974953
8156.250000	-79.914185
8203.125000	-79.512573
8250.000000	-79.961876
8296.875000	-80.165840
