Frequency (Hz)	Level (dB)
46.875000	-43.805733
93.750000	-50.501167
140.625000	-56.521137
187.500000	-60.391029
234.375000	-61.908127
281.250000	-62.252037
328.125000	-62.992836
375.000000	-63.848434
421.875000	-65.150742
468.750000	-65.459007
515.625000	-65.929955
562.500000	-66.022575
609.375000	-66.473808
656.250000	-67.036942
703.125000	-67.611351
750.000000	-67.786896
796.875000	-67.724495
843.750000	-68.306358
890.625000	-68.542862
937.500000	-68.428764
984.375000	-68.807350
1031.250000	-69.478867
1078.125000	-69.772354
1125.000000	-70.279388
1171.875000	-70.885078
1218.750000	-71.196381
1265.625000	-71.196526
1312.500000	-71.243568
1359.375000	-71.415367
1406.250000	-72.041542
1453.125000	-72.806824
1500.000000	-72.523735
1546.875000	-72.464882
1593.750000	-72.925507
1640.625000	-73.430405
1687.500000	-73.274330
1734.375000	-73.411789
1781.250000	-73.659958
1828.125000	-73.610481
1875.000000	-73.798637
1921.875000	-73.999947
1968.750000	-74.162971
2015.625000	-74.492538
2062.500000	-74.773666
2109.375000	-75.202072
2156.250000	-74.959686
2203.125000	-74.862495
2250.000000	-74.762680
2296.875000	-74.679207
2343.750000	-74.686882
2390.625000	-74.909836
2437.500000	-75.153252
2484.375000	-75.255852
2531.250000	-74.857697
2578.125000	-74.762306
2625.000000	-75.038467
2671.875000	-75.289108
2718.750000	-75.418777
2765.625000	-75.615288
2812.500000	-75.774551
2859.375000	-76.193077
2906.250000	-76.167885
2953.125000	-76.303032
3000.000000	-75.924896
3046.875000	-75.978317
3093.750000	-76.270569
3140.625000	-76.546761
3187.500000	-76.845734
3234.375000	-76.401756
3281.250000	-76.778847
3328.125000	-77.185661
3375.000000	-77.096291
3421.875000	-76.990219
3468.750000	-77.079414
3515.625000	-77.504272
3562.500000	-77.298103
3609.375000	-77.302505
3656.250000	-77.328224
3703.125000	-77.148811
3750.000000	-77.418854
3796.875000	-77.519356
3843.750000	-77.506172
3890.625000	-77.846077
3937.500000	-78.297050
3984.375000	-78.024544
4031.250000	-77.389183
4078.125000	-77.672997
4125.000000	-78.199860
4171.875000	-78.051758
4218.750000	-78.133926
4265.625000	-78.569359
4312.500000	-78.865387
4359.375000	-79.006248
4406.250000	-78.894798
4453.125000	-79.058113
4500.000000	-78.599670
4546.875000	-78.438141
4593.750000	-78.918770
4640.625000	-78.879234
4687.500000	-79.089668
