Frequency (Hz)	Level (dB)
46.875000	-31.969931
93.750000	-38.831089
140.625000	-47.596119
187.500000	-51.745461
234.375000	-52.673328
281.250000	-53.455734
328.125000	-53.654591
375.000000	-53.755226
421.875000	-55.412090
468.750000	-56.423676
515.625000	-57.387123
562.500000	-57.457863
609.375000	-57.456127
656.250000	-57.845375
703.125000	-57.947281
750.000000	-58.707851
796.875000	-58.682255
843.750000	-58.944141
890.625000	-59.443523
937.500000	-59.663113
984.375000	-60.040401
1031.250000	-60.086819
1078.125000	-60.672207
1125.000000	-60.802689
1171.875000	-60.989738
1218.750000	-61.221485
1265.625000	-61.505932
1312.500000	-61.321560
1359.375000	-61.414185
1406.250000	-61.502319
1453.125000	-61.567341
1500.000000	-62.032383
1546.875000	-62.176308
1593.750000	-62.141945
1640.625000	-62.195107
1687.500000	-62.327408
1734.375000	-62.488953
1781.250000	-62.430447
1828.125000	-62.596119
1875.000000	-62.373726
1921.875000	-62.274986
1968.750000	-62.547916
2015.625000	-62.436562
2062.500000	-62.276474
2109.375000	-62.089306
2156.250000	-62.289608
2203.125000	-62.085625
2250.000000	-62.080841
2296.875000	-62.426357
2343.750000	-62.417187
2390.625000	-62.032070
2437.500000	-61.766098
2484.375000	-61.516132
2531.250000	-61.517670
2578.125000	-61.493961
2625.000000	-61.472836
2671.875000	-61.048634
2718.750000	-61.114563
2765.625000	-61.671741
2812.500000	-61.006500
2859.375000	-60.901096
2906.250000	-60.914368
2953.125000	-61.033535
3000.000000	-61.447983
3046.875000	-61.231747
3093.750000	-61.164600
3140.625000	-61.123199
3187.500000	-60.763309
3234.375000	-60.413738
3281.250000	-60.572639
3328.125000	-60.973160
3375.000000	-60.998074
3421.875000	-61.027950
3468.750000	-61.198296
3515.625000	-60.957508
3562.500000	-60.706680
3609.375000	-61.208504
3656.250000	-61.082363
3703.125000	-60.962101
3750.000000	-60.874187
3796.875000	-60.765491
3843.750000	-61.171085
3890.625000	-61.466984
3937.500000	-61.659779
3984.375000	-61.109173
4031.250000	-61.473724
4078.125000	-61.757256
4125.000000	-61.524048
4171.875000	-61.401352
4218.750000	-61.425144
4265.625000	-61.578465
4312.500000	-61.364109
4359.375000	-61.979019
4406.250000	-61.996025
4453.125000	-61.814064
