Frequency (Hz)	Level (dB)
46.875000	-24.277063
93.750000	-34.641487
140.625000	-43.016716
187.500000	-44.644302
234.375000	-46.094421
281.250000	-47.040493
328.125000	-47.075367
375.000000	-47.331341
421.875000	-47.037685
468.750000	-45.788776
515.625000	-47.315979
562.500000	-48.541786
609.375000	-48.897255
656.250000	-48.685520
703.125000	-48.576260
750.000000	-48.529648
796.875000	-48.407745
843.750000	-48.326988
890.625000	-48.679882
937.500000	-48.695236
984.375000	-49.261044
1031.250000	-49.522690
1078.125000	-50.007069
1125.000000	-50.590191
1171.875000	-50.732853
1218.750000	-50.879581
1265.625000	-51.347851
1312.500000	-51.660873
1359.375000	-51.791344
1406.250000	-51.984787
1453.125000	-52.228004
1500.000000	-52.481106
1546.875000	-52.323048
1593.750000	-52.211548
1640.625000	-52.562950
1687.500000	-53.275978
1734.375000	-53.507725
1781.250000	-53.375225
1828.125000	-53.614677
1875.000000	-53.793049
1921.875000	-54.027145
1968.750000	-54.185837
2015.625000	-54.452774
2062.500000	-54.420204
2109.375000	-54.107986
2156.250000	-54.409122
2203.125000	-55.113087
2250.000000	-55.476379
2296.875000	-55.247898
2343.750000	-55.022305
2390.625000	-55.095726
2437.500000	-55.387943
2484.375000	-55.400379
2531.250000	-55.174351
2578.125000	-55.108082
2625.000000	-55.013500
2671.875000	-54.617538
2718.750000	-54.726875
2765.625000	-54.870739
2812.500000	-55.247478
2859.375000	-55.590092
2906.250000	-55.438114
2953.125000	-55.380043
3000.000000	-55.526943
3046.875000	-55.951904
3093.750000	-56.104969
3140.625000	-55.943180
3187.500000	-55.358410
3234.375000	-55.910503
3281.250000	-56.284641
3328.125000	-55.787933
3375.000000	-55.488586
3421.875000	-55.918812
3468.750000	-55.854210
3515.625000	-56.166740
3562.500000	-56.034870
3609.375000	-55.874321
3656.250000	-56.013992
3703.125000	-56.203468
3750.000000	-56.562752
3796.875000	-56.481758
3843.750000	-56.286060
3890.625000	-56.204193
3937.500000	-56.248165
3984.375000	-56.637863
4031.250000	-56.420834
4078.125000	-56.163647
4125.000000	-56.190807
4171.875000	-56.116932
4218.750000	-56.457741
4265.625000	-56.739548
4312.500000	-56.584751
4359.375000	-56.611450
4406.250000	-57.167522
4453.125000	-57.547348
4500.000000	-57.002529
4546.875000	-56.669437
4593.750000	-57.075668
4640.625000	-57.602386
4687.500000	-57.824059
4734.375000	-57.886154
4781.250000	-57.804066
4828.125000	-57.510422
4875.000000	-57.406616
4921.875000	-57.595615
4968.750000	-57.767765
5015.625000	-57.687244
5062.500000	-57.674553
5109.375000	-58.183544
5156.250000	-57.951561
5203.125000	-58.000835
5250.000000	-57.834023
5296.875000	-58.057972
5343.750000	-58.234631
5390.625000	-58.216991
5437.500000	-58.583599
5484.375000	-58.541965
5531.250000	-58.464504
5578.125000	-58.643806
5625.000000	-59.089779
5671.875000	-59.173141
5718.750000	-58.574913
5765.625000	-59.171398
5812.500000	-59.099682
5859.375000	-59.068001
5906.250000	-59.362389
5953.125000	-59.559433
6000.000000	-59.632816
6046.875000	-59.875717
6093.750000	-60.069237
6140.625000	-60.396473
6187.500000	-59.897263
6234.375000	-59.782845
6281.250000	-60.820038
6328.125000	-60.981625
6375.000000	-60.645939
6421.875000	-60.282967
6468.750000	-60.299576
6515.625000	-60.328461
6562.500000	-61.005939
6609.375000	-61.588730
6656.250000	-61.363449
6703.125000	-61.482555
6750.000000	-61.571606
6796.875000	-61.602833
6843.750000	-61.816921
6890.625000	-61.628391
6937.500000	-61.437828
6984.375000	-61.542763
7031.250000	-61.889370
7078.125000	-62.072296
7125.000000	-61.983948
7171.875000	-62.292347
7218.750000	-62.552898
7265.625000	-62.592960
7312.500000	-62.961594
7359.375000	-62.853848
