Frequency (Hz)	Level (dB)
46.875000	-32.262974
93.750000	-38.967411
140.625000	-47.661724
187.500000	-52.975777
234.375000	-56.630100
281.250000	-59.357777
328.125000	-60.349167
375.000000	-61.027637
421.875000	-61.286655
468.750000	-61.766285
515.625000	-62.387238
562.500000	-63.025364
609.375000	-63.726070
656.250000	-64.180885
703.125000	-63.963192
750.000000	-64.299515
796.875000	-64.966934
843.750000	-65.349182
890.625000	-65.704491
937.500000	-66.298203
984.375000	-66.207710
1031.250000	-66.531883
1078.125000	-66.733276
1125.000000	-66.955795
1171.875000	-67.312485
1218.750000	-67.455795
1265.625000	-67.640892
1312.500000	-67.830368
1359.375000	-68.342987
1406.250000	-68.700508
1453.125000	-68.708557
1500.000000	-68.813080
1546.875000	-68.677086
1593.750000	-69.052376
1640.625000	-69.330605
1687.500000	-69.348770
1734.375000	-69.719376
1781.250000	-69.969711
1828.125000	-70.174011
1875.000000	-70.207382
1921.875000	-69.967651
1968.750000	-70.088921
2015.625000	-70.285568
2062.500000	-70.311783
2109.375000	-70.361748
2156.250000	-70.441750
2203.125000	-70.758888
2250.000000	-70.596481
2296.875000	-70.187195
2343.750000	-70.113457
2390.625000	-70.287148
2437.500000	-70.705292
2484.375000	-70.657539
2531.250000	-70.793968
2578.125000	-71.065865
2625.000000	-70.771347
2671.875000	-71.122589
2718.750000	-71.148041
2765.625000	-71.049751
2812.500000	-71.242081
2859.375000	-71.199486
2906.250000	-71.280533
2953.125000	-70.958939
3000.000000	-70.885239
3046.875000	-70.746712
3093.750000	-70.594612
3140.625000	-71.081100
3187.500000	-70.854088
3234.375000	-70.904266
3281.250000	-70.672249
3328.125000	-70.615669
3375.000000	-70.701782
3421.875000	-70.911255
3468.750000	-70.742233
3515.625000	-70.800362
3562.500000	-70.886612
3609.375000	-70.608246
3656.250000	-70.931305
3703.125000	-70.676476
3750.000000	-70.790825
3796.875000	-70.976952
3843.750000	-71.101128
3890.625000	-71.310257
3937.500000	-70.892273
3984.375000	-71.011139
4031.250000	-71.235931
4078.125000	-71.336807
4125.000000	-71.480431
4171.875000	-71.588852
4218.750000	-71.423370
4265.625000	-71.620766
4312.500000	-71.239304
4359.375000	-71.414085
4406.250000	-71.382622
4453.125000	-71.347122
4500.000000	-71.228325
4546.875000	-71.567871
4593.750000	-71.611786
4640.625000	-71.636940
4687.500000	-71.899597
4734.375000	-71.637970
4781.250000	-71.843246
4828.125000	-71.611183
4875.000000	-71.594177
4921.875000	-71.832222
4968.750000	-72.471237
5015.625000	-72.201332
5062.500000	-71.892654
5109.375000	-71.994591
5156.250000	-72.160263
