Frequency (Hz)	Level (dB)
46.875000	-33.895924
93.750000	-41.018150
140.625000	-46.095570
187.500000	-48.355778
234.375000	-49.735474
281.250000	-51.516964
328.125000	-51.506985
375.000000	-52.196922
421.875000	-53.070122
468.750000	-53.282009
515.625000	-53.425156
562.500000	-53.494961
609.375000	-53.420799
656.250000	-53.542004
703.125000	-53.516457
750.000000	-53.016331
796.875000	-52.986195
843.750000	-53.558640
890.625000	-53.664749
937.500000	-53.853298
984.375000	-54.276001
1031.250000	-54.655098
1078.125000	-55.106220
1125.000000	-55.626526
1171.875000	-56.349007
1218.750000	-57.023533
1265.625000	-57.518616
1312.500000	-58.133495
1359.375000	-58.465305
1406.250000	-58.841770
1453.125000	-58.963074
1500.000000	-59.150009
1546.875000	-59.879406
1593.750000	-59.858337
1640.625000	-60.031300
1687.500000	-60.414066
1734.375000	-60.526913
1781.250000	-60.683285
1828.125000	-61.093578
1875.000000	-61.539326
1921.875000	-61.750908
1968.750000	-62.067265
2015.625000	-62.002888
2062.500000	-62.355007
2109.375000	-62.524483
2156.250000	-62.630096
2203.125000	-62.893543
2250.000000	-63.000347
2296.875000	-63.152122
2343.750000	-63.026314
2390.625000	-62.638023
2437.500000	-62.585659
2484.375000	-62.677849
2531.250000	-63.183250
2578.125000	-63.467876
2625.000000	-63.343872
2671.875000	-63.353069
2718.750000	-63.043972
2765.625000	-62.866173
2812.500000	-63.144840
2859.375000	-62.887566
2906.250000	-63.058762
2953.125000	-63.435802
3000.000000	-63.394989
3046.875000	-63.200768
3093.750000	-63.359612
3140.625000	-63.546589
3187.500000	-63.446518
3234.375000	-63.466686
3281.250000	-63.597034
3328.125000	-63.756382
3375.000000	-63.777103
3421.875000	-63.605595
3468.750000	-63.541027
3515.625000	-63.600586
3562.500000	-63.484692
3609.375000	-63.939198
3656.250000	-64.182838
3703.125000	-64.247604
3750.000000	-64.162628
3796.875000	-64.638542
3843.750000	-64.230827
3890.625000	-64.071716
3937.500000	-64.679161
3984.375000	-64.871643
4031.250000	-64.816597
4078.125000	-64.926521
4125.000000	-64.895271
4171.875000	-64.621201
4218.750000	-64.773926
4265.625000	-64.902634
4312.500000	-65.086327
4359.375000	-65.101456
4406.250000	-65.068199
4453.125000	-65.318756
4500.000000	-65.473618
4546.875000	-65.359596
4593.750000	-65.663033
4640.625000	-65.929764
4687.500000	-65.899200
4734.375000	-65.889153
4781.250000	-65.878754
4828.125000	-65.839951
4875.000000	-66.061249
4921.875000	-66.277679
4968.750000	-66.031631
5015.625000	-66.384125
5062.500000	-66.639961
5109.375000	-66.589912
5156.250000	-66.824051
5203.125000	-66.838684
5250.000000	-66.884529
5296.875000	-66.959595
5343.750000	-66.909248
5390.625000	-67.087715
5437.500000	-67.218864
5484.375000	-67.505714
5531.250000	-67.483093
5578.125000	-67.297310
5625.000000	-67.484230
5671.875000	-67.760201
5718.750000	-67.755432
5765.625000	-67.902191
5812.500000	-68.282623
5859.375000	-68.421898
5906.250000	-68.408447
5953.125000	-68.390198
6000.000000	-68.327858
6046.875000	-68.982780
6093.750000	-69.110657
6140.625000	-69.192078
6187.500000	-69.092873
6234.375000	-69.369003
6281.250000	-69.400887
6328.125000	-69.143272
6375.000000	-69.443153
6421.875000	-69.484200
6468.750000	-69.470795
6515.625000	-69.389107
6562.500000	-69.515244
6609.375000	-69.751114
6656.250000	-70.428268
