Frequency (Hz)	Level (dB)
46.875000	-24.849438
93.750000	-31.300913
140.625000	-39.876358
187.500000	-45.194324
234.375000	-49.411880
281.250000	-52.725651
328.125000	-56.567303
375.000000	-58.529057
421.875000	-59.529293
468.750000	-60.117748
515.625000	-60.913235
562.500000	-61.344078
609.375000	-61.711147
656.250000	-62.303028
703.125000	-62.696190
750.000000	-62.659843
796.875000	-62.899895
843.750000	-62.806446
890.625000	-63.375084
937.500000	-63.887012
984.375000	-63.862465
1031.250000	-63.310383
1078.125000	-63.627411
1125.000000	-64.293823
1171.875000	-64.344994
1218.750000	-64.298180
1265.625000	-64.423546
1312.500000	-65.204147
1359.375000	-65.035896
1406.250000	-65.030670
1453.125000	-65.439331
1500.000000	-65.790375
1546.875000	-65.989334
1593.750000	-66.293648
1640.625000	-66.304909
1687.500000	-66.451836
1734.375000	-66.571373
1781.250000	-66.704193
1828.125000	-67.000824
1875.000000	-67.394432
1921.875000	-67.350845
1968.750000	-67.309029
2015.625000	-68.058350
2062.500000	-68.259956
2109.375000	-68.494583
2156.250000	-68.764168
2203.125000	-68.563919
2250.000000	-68.424934
2296.875000	-68.295197
2343.750000	-68.340538
2390.625000	-68.570862
2437.500000	-68.869904
2484.375000	-68.597717
2531.250000	-68.956711
2578.125000	-69.175056
2625.000000	-68.975868
2671.875000	-69.062294
2718.750000	-68.687645
2765.625000	-68.877609
2812.500000	-68.583809
2859.375000	-69.096191
2906.250000	-69.040794
2953.125000	-69.060120
3000.000000	-69.046997
3046.875000	-69.176315
3093.750000	-68.979179
3140.625000	-69.135338
3187.500000	-69.420029
3234.375000	-69.612991
3281.250000	-69.824326
3328.125000	-69.331291
3375.000000	-69.457214
3421.875000	-69.942917
3468.750000	-69.872192
3515.625000	-69.365845
3562.500000	-69.839104
3609.375000	-70.056702
3656.250000	-69.696548
3703.125000	-69.808853
3750.000000	-69.956131
3796.875000	-69.836128
3843.750000	-70.313980
3890.625000	-70.493935
3937.500000	-69.870117
3984.375000	-69.712440
4031.250000	-69.979065
4078.125000	-70.215508
4125.000000	-69.262589
4171.875000	-69.299789
4218.750000	-69.912598
4265.625000	-70.201088
4312.500000	-70.488083
4359.375000	-70.798981
4406.250000	-70.828300
4453.125000	-70.298653
4500.000000	-70.254593
4546.875000	-70.241302
4593.750000	-70.460457
4640.625000	-70.515999
4687.500000	-70.662247
4734.375000	-71.129959
4781.250000	-71.075516
4828.125000	-71.490288
4875.000000	-71.274834
4921.875000	-70.876328
4968.750000	-70.889214
5015.625000	-71.194786
5062.500000	-71.191765
5109.375000	-70.672279
5156.250000	-70.908066
5203.125000	-71.570946
5250.000000	-71.947723
5296.875000	-71.663788
5343.750000	-71.873444
5390.625000	-72.148643
5437.500000	-72.327339
5484.375000	-72.520294
5531.250000	-72.338448
5578.125000	-72.586029
5625.000000	-72.163422
5671.875000	-72.025803
5718.750000	-72.668114
5765.625000	-72.310074
5812.500000	-72.252983
5859.375000	-72.658447
5906.250000	-72.952568
5953.125000	-73.247070
6000.000000	-73.142731
6046.875000	-72.818161
6093.750000	-72.677864
6140.625000	-73.091782
6187.500000	-73.478859
6234.375000	-73.662704
6281.250000	-73.931473
6328.125000	-73.889420
6375.000000	-74.113182
6421.875000	-73.695496
6468.750000	-73.641861
6515.625000	-73.721497
6562.500000	-74.062248
6609.375000	-74.776031
6656.250000	-75.018959
6703.125000	-75.176750
6750.000000	-75.714363
6796.875000	-75.192474
6843.750000	-74.960068
6890.625000	-75.042023
6937.500000	-75.336411
6984.375000	-75.900970
7031.250000	-76.024628
7078.125000	-75.762314
7125.000000	-76.032562
7171.875000	-76.049393
7218.750000	-75.820122
7265.625000	-76.264648
7312.500000	-76.477226
7359.375000	-76.573090
7406.250000	-76.587242
7453.125000	-76.441284
7500.000000	-76.845978
7546.875000	-77.272507
7593.750000	-77.189621
7640.625000	-76.845917
7687.500000	-77.508850
7734.375000	-77.522491
7781.250000	-77.300117
7828.125000	-77.216469
7875.000000	-77.513145
7921.875000	-77.775558
7968.750000	-77.673141
8015.625000	-77.490036
8062.500000	-77.957405
8109.375000	-77.749039
8156.250000	-77.538216
8203.125000	-77.592918
8250.000000	-78.298096
8296.875000	-78.027962
8343.750000	-77.831001
8390.625000	-78.153595
8437.500000	-78.113960
8484.375000	-77.935600
8531.250000	-78.127663
8578.125000	-78.233047
8625.000000	-78.387939
8671.875000	-78.327690
8718.750000	-78.293762
8765.625000	-78.708389
8812.500000	-78.226357
8859.375000	-78.366768
8906.250000	-78.461266
8953.125000	-78.524490
9000.000000	-78.727150
9046.875000	-78.871208
9093.750000	-78.794502
9140.625000	-78.926460
9187.500000	-79.025803
9234.375000	-78.937691
9281.250000	-78.869766
9328.125000	-78.937965
9375.000000	-79.448463
9421.875000	-79.312973
9468.750000	-79.507294
9515.625000	-79.493660
9562.500000	-79.389984
9609.375000	-79.850037
9656.250000	-80.325920
9703.125000	-79.750252
9750.000000	-79.729439
9796.875000	-79.939308
9843.750000	-79.863373
9890.625000	-79.706749
9937.500000	-80.177956
9984.375000	-80.610352
10031.250000	-80.128677
10078.125000	-80.075592
10125.000000	-80.275551
10171.875000	-80.608337
10218.750000	-80.444496
10265.625000	-80.628128
10312.500000	-80.632851
10359.375000	-80.889198
10406.250000	-81.158699
10453.125000	-80.928986
10500.000000	-81.192329
10546.875000	-81.227715
10593.750000	-81.747482
10640.625000	-81.887199
10687.500000	-81.865692
10734.375000	-82.279594
10781.250000	-82.210335
10828.125000	-82.615929
10875.000000	-82.623283
10921.875000	-82.991257
10968.750000	-83.356728
11015.625000	-82.979042
11062.500000	-82.841759
11109.375000	-82.916512
11156.250000	-82.897057
11203.125000	-83.292480
11250.000000	-83.877602
11296.875000	-84.220688
11343.750000	-83.966644
11390.625000	-83.676025
11437.500000	-83.908699
11484.375000	-83.735405
11531.250000	-84.461853
11578.125000	-84.754028
11625.000000	-84.825531
11671.875000	-84.811089
11718.750000	-84.709045
11765.625000	-84.989799
11812.500000	-85.445427
11859.375000	-85.524307
11906.250000	-85.514145
11953.125000	-85.788506
12000.000000	-86.015953
12046.875000	-85.967117
12093.750000	-86.076538
12140.625000	-85.726517
12187.500000	-86.000885
12234.375000	-86.376717
12281.250000	-86.347389
12328.125000	-86.661079
12375.000000	-87.417717
12421.875000	-87.330231
12468.750000	-87.539131
12515.625000	-87.578697
12562.500000	-87.427460
12609.375000	-87.394051
12656.250000	-87.711555
12703.125000	-88.003593
12750.000000	-87.910751
12796.875000	-87.954323
12843.750000	-88.426552
12890.625000	-89.096870
12937.500000	-88.938934
12984.375000	-88.385414
13031.250000	-88.584488
13078.125000	-89.157333
13125.000000	-89.389320
13171.875000	-89.289352
13218.750000	-89.398453
13265.625000	-89.631989
13312.500000	-89.857834
13359.375000	-89.956673
13406.250000	-89.855980
13453.125000	-89.987503
13500.000000	-90.084435
13546.875000	-90.153450
13593.750000	-90.362892
13640.625000	-90.802086
13687.500000	-90.957710
13734.375000	-90.839317
13781.250000	-91.058258
13828.125000	-90.891945
13875.000000	-91.033295
13921.875000	-91.714310
13968.750000	-91.694397
14015.625000	-91.495850
14062.500000	-91.461838
14109.375000	-92.017441
14156.250000	-92.193672
14203.125000	-92.166664
14250.000000	-92.013077
14296.875000	-92.255592
14343.750000	-92.934303
14390.625000	-93.095436
14437.500000	-92.927330
14484.375000	-92.991257
14531.250000	-93.224274
14578.125000	-93.752342
14625.000000	-93.804955
14671.875000	-93.793800
14718.750000	-94.267303
14765.625000	-94.318230
14812.500000	-94.480240
14859.375000	-94.188995
14906.250000	-94.304245
14953.125000	-94.509598
15000.000000	-94.747231
15046.875000	-94.171661
15093.750000	-94.627342
15140.625000	-94.792877
15187.500000	-95.165504
15234.375000	-95.409370
15281.250000	-95.267273
15328.125000	-95.359360
15375.000000	-95.154373
15421.875000	-95.623154
15468.750000	-96.022293
15515.625000	-96.049271
15562.500000	-96.008606
15609.375000	-96.168015
15656.250000	-96.420609
15703.125000	-96.232742
15750.000000	-96.176254
15796.875000	-96.159584
15843.750000	-96.208740
15890.625000	-96.308060
15937.500000	-96.491463
15984.375000	-98.111389
16031.250000	-100.191933
16078.125000	-99.962196
16125.000000	-98.907333
16171.875000	-99.345879
16218.750000	-100.270760
16265.625000	-100.313438
16312.500000	-100.628723
16359.375000	-100.854523
16406.250000	-100.494263
16453.125000	-100.447052
16500.000000	-100.378532
16546.875000	-100.778999
16593.750000	-101.707878
16640.625000	-101.629753
16687.500000	-102.412811
16734.375000	-101.501053
16781.250000	-100.515099
16828.125000	-101.947517
16875.000000	-104.378998
16921.875000	-104.212189
16968.750000	-102.893753
17015.625000	-102.469833
17062.500000	-104.377220
17109.375000	-104.570526
17156.250000	-105.112534
17203.125000	-104.505112
17250.000000	-105.125198
17296.875000	-104.061890
17343.750000	-102.210373
17390.625000	-101.944466
17437.500000	-101.488487
17484.375000	-103.130455
17531.250000	-102.670052
17578.125000	-101.281563
17625.000000	-101.904648
17671.875000	-103.587456
17718.750000	-101.754562
17765.625000	-102.352203
17812.500000	-103.438293
17859.375000	-103.494942
17906.250000	-104.579674
17953.125000	-105.525307
18000.000000	-105.680824
18046.875000	-103.743492
18093.750000	-104.990425
18140.625000	-107.409920
18187.500000	-108.767761
18234.375000	-109.570473
18281.250000	-107.174812
18328.125000	-106.832382
18375.000000	-105.743332
18421.875000	-106.506653
18468.750000	-110.696159
18515.625000	-111.660545
18562.500000	-110.039902
18609.375000	-110.318634
18656.250000	-108.555901
18703.125000	-105.048729
18750.000000	-104.824303
18796.875000	-109.752388
18843.750000	-112.431412
18890.625000	-113.243736
18937.500000	-114.322433
18984.375000	-112.716209
19031.250000	-115.063515
19078.125000	-118.602097
19125.000000	-121.749474
19171.875000	-122.645432
19218.750000	-122.326134
19265.625000	-118.867340
19312.500000	-117.595894
19359.375000	-118.887070
19406.250000	-123.129478
19453.125000	-120.567436
19500.000000	-116.706299
19546.875000	-119.881226
19593.750000	-127.907814
19640.625000	-128.693451
19687.500000	-127.058022
19734.375000	-126.085144
19781.250000	-125.734161
19828.125000	-126.238358
19875.000000	-127.522125
19921.875000	-128.772614
19968.750000	-129.089142
20015.625000	-129.608170
20062.500000	-131.675598
20109.375000	-132.847870
20156.250000	-128.134689
20203.125000	-124.716545
20250.000000	-123.563896
20296.875000	-124.564682
20343.750000	-127.347626
20390.625000	-131.351227
20437.500000	-135.482864
20484.375000	-139.751373
20531.250000	-144.581543
20578.125000	-148.253906
20625.000000	-149.040283
20671.875000	-148.825424
20718.750000	-148.316757
20765.625000	-148.819000
20812.500000	-148.925720
20859.375000	-148.191620
20906.250000	-142.249176
20953.125000	-135.582977
21000.000000	-134.648407
21046.875000	-137.442932
21093.750000	-145.197784
21140.625000	-148.364105
21187.500000	-148.178650
21234.375000	-148.698563
21281.250000	-148.872009
21328.125000	-148.633942
21375.000000	-148.310211
21421.875000	-148.395660
21468.750000	-148.262726
21515.625000	-148.182861
21562.500000	-148.346252
21609.375000	-148.637329
21656.250000	-148.177094
21703.125000	-148.285110
21750.000000	-148.181976
21796.875000	-148.253983
21843.750000	-148.459656
21890.625000	-148.272675
21937.500000	-147.924011
21984.375000	-148.053528
22031.250000	-147.975555
22078.125000	-147.827393
22125.000000	-148.108887
22171.875000	-148.206573
22218.750000	-148.116211
22265.625000	-147.548218
22312.500000	-147.086533
22359.375000	-145.434799
22406.250000	-142.143082
22453.125000	-135.190201
22500.000000	-134.959854
22546.875000	-140.728943
22593.750000	-145.544113
22640.625000	-146.649765
22687.500000	-147.525330
22734.375000	-148.121582
22781.250000	-147.746338
22828.125000	-147.356247
22875.000000	-147.049194
22921.875000	-147.120789
22968.750000	-147.341431
23015.625000	-147.485062
23062.500000	-147.292114
23109.375000	-147.005508
23156.250000	-147.192688
23203.125000	-147.370804
23250.000000	-147.585724
23296.875000	-147.427933
23343.750000	-147.278931
23390.625000	-147.814590
23437.500000	-147.621719
23484.375000	-146.910217
23531.250000	-146.831619
23578.125000	-147.408249
23625.000000	-147.261063
23671.875000	-147.133331
23718.750000	-147.263657
23765.625000	-147.205872
23812.500000	-147.376404
23859.375000	-146.756561
23906.250000	-140.392319
23953.125000	-136.565491
