Frequency (Hz)	Level (dB)
46.875000	-20.568037
93.750000	-25.889664
140.625000	-34.985367
187.500000	-41.876122
234.375000	-46.591564
281.250000	-50.961754
328.125000	-54.254383
375.000000	-55.933392
421.875000	-57.836246
468.750000	-59.190361
515.625000	-61.807335
562.500000	-63.303226
609.375000	-63.598911
656.250000	-63.829906
703.125000	-64.416481
750.000000	-64.225922
796.875000	-63.915417
843.750000	-65.226212
890.625000	-66.035324
937.500000	-65.803886
984.375000	-66.686409
1031.250000	-66.353752
1078.125000	-66.998833
1125.000000	-67.826996
1171.875000	-67.781784
1218.750000	-67.681831
1265.625000	-68.479240
1312.500000	-69.117393
1359.375000	-69.886078
1406.250000	-69.442596
1453.125000	-69.997322
1500.000000	-70.612099
1546.875000	-70.285881
1593.750000	-69.982803
1640.625000	-70.711311
1687.500000	-70.905487
1734.375000	-70.822487
1781.250000	-71.427544
1828.125000	-71.790955
1875.000000	-71.797119
1921.875000	-71.525116
1968.750000	-71.766426
2015.625000	-72.510033
2062.500000	-72.414337
2109.375000	-72.067963
2156.250000	-73.047554
2203.125000	-73.720139
2250.000000	-73.748787
2296.875000	-73.470413
2343.750000	-73.583420
2390.625000	-74.054657
2437.500000	-73.488869
2484.375000	-73.535255
2531.250000	-73.682335
2578.125000	-73.102165
2625.000000	-73.462029
2671.875000	-73.497742
2718.750000	-74.003937
2765.625000	-74.737053
2812.500000	-74.525154
2859.375000	-73.925064
2906.250000	-74.394562
2953.125000	-74.447037
3000.000000	-74.090736
3046.875000	-74.699669
3093.750000	-75.326378
3140.625000	-75.579651
3187.500000	-75.717941
3234.375000	-75.523750
3281.250000	-75.294350
3328.125000	-74.572632
3375.000000	-74.704468
3421.875000	-75.268089
3468.750000	-74.928566
3515.625000	-74.702362
3562.500000	-75.267601
3609.375000	-75.146126
3656.250000	-75.182877
3703.125000	-75.922974
3750.000000	-75.904572
3796.875000	-75.991272
3843.750000	-75.719688
3890.625000	-75.975342
3937.500000	-76.154045
3984.375000	-76.026634
4031.250000	-76.294647
4078.125000	-76.663879
4125.000000	-77.215630
4171.875000	-77.208382
4218.750000	-76.499687
4265.625000	-76.273987
4312.500000	-76.044434
4359.375000	-76.353310
4406.250000	-76.328720
4453.125000	-77.094650
4500.000000	-76.873474
4546.875000	-77.242035
4593.750000	-77.022514
4640.625000	-76.952148
4687.500000	-77.178169
4734.375000	-77.399834
4781.250000	-77.470299
4828.125000	-77.443253
4875.000000	-77.132881
4921.875000	-77.372681
4968.750000	-77.640839
5015.625000	-77.361526
5062.500000	-77.317162
5109.375000	-77.436867
5156.250000	-77.873627
5203.125000	-77.928635
5250.000000	-77.883240
5296.875000	-77.934967
5343.750000	-78.365875
5390.625000	-77.621681
5437.500000	-78.328766
5484.375000	-78.840942
5531.250000	-78.477890
5578.125000	-78.547432
5625.000000	-78.538437
5671.875000	-78.354843
5718.750000	-78.629974
5765.625000	-79.506119
5812.500000	-79.246887
5859.375000	-78.588387
5906.250000	-78.673988
5953.125000	-78.949348
6000.000000	-79.382835
6046.875000	-79.370041
6093.750000	-79.845116
6140.625000	-80.113670
6187.500000	-80.042183
6234.375000	-80.623993
6281.250000	-79.940857
6328.125000	-80.581116
6375.000000	-80.726898
6421.875000	-80.604607
6468.750000	-80.074730
6515.625000	-80.122734
6562.500000	-80.782196
6609.375000	-81.071335
6656.250000	-81.024307
6703.125000	-81.492165
6750.000000	-81.493301
6796.875000	-81.240196
6843.750000	-81.071632
6890.625000	-81.485260
6937.500000	-81.805122
6984.375000	-81.863266
7031.250000	-82.224228
7078.125000	-81.836189
7125.000000	-81.598007
7171.875000	-81.362648
7218.750000	-82.009613
7265.625000	-82.505913
7312.500000	-82.108521
7359.375000	-82.561432
7406.250000	-82.752289
7453.125000	-82.527168
7500.000000	-83.031013
7546.875000	-83.237183
7593.750000	-83.104523
7640.625000	-83.122253
7687.500000	-83.637215
7734.375000	-83.961411
7781.250000	-83.695068
7828.125000	-83.686493
7875.000000	-84.070877
7921.875000	-84.094154
7968.750000	-83.561844
8015.625000	-83.715515
8062.500000	-84.518867
8109.375000	-84.598930
8156.250000	-84.341698
8203.125000	-84.524597
8250.000000	-84.574005
8296.875000	-84.459343
8343.750000	-84.629486
8390.625000	-84.609528
8437.500000	-84.839104
8484.375000	-84.880005
8531.250000	-84.833092
8578.125000	-85.030975
8625.000000	-85.087486
8671.875000	-84.848801
8718.750000	-84.970741
8765.625000	-85.432526
8812.500000	-85.266525
8859.375000	-85.100464
8906.250000	-85.010201
8953.125000	-85.211830
9000.000000	-85.451591
9046.875000	-85.888611
9093.750000	-85.941139
9140.625000	-86.007042
9187.500000	-86.388535
9234.375000	-86.176033
9281.250000	-86.327507
9328.125000	-86.301704
9375.000000	-86.503464
9421.875000	-86.585152
9468.750000	-86.928558
9515.625000	-87.056038
9562.500000	-86.616974
9609.375000	-86.446579
9656.250000	-86.436699
9703.125000	-86.574974
9750.000000	-86.896706
9796.875000	-86.983879
9843.750000	-86.614891
9890.625000	-86.321877
9937.500000	-86.445847
9984.375000	-86.670769
10031.250000	-87.026184
10078.125000	-87.024818
10125.000000	-87.607750
10171.875000	-87.847488
10218.750000	-87.488068
10265.625000	-87.147530
10312.500000	-86.973015
10359.375000	-87.537178
10406.250000	-88.013847
10453.125000	-88.426323
10500.000000	-88.960030
10546.875000	-88.679070
10593.750000	-88.728897
10640.625000	-88.838348
10687.500000	-89.209908
10734.375000	-88.467743
10781.250000	-88.219215
10828.125000	-89.073410
10875.000000	-89.324150
10921.875000	-89.229675
10968.750000	-90.173904
11015.625000	-90.082626
11062.500000	-89.652885
11109.375000	-89.633965
11156.250000	-89.870880
11203.125000	-90.323044
11250.000000	-90.704597
11296.875000	-91.140083
11343.750000	-90.780426
11390.625000	-90.024170
