Frequency (Hz)	Level (dB)
46.875000	-41.027306
93.750000	-47.417034
140.625000	-54.471531
187.500000	-59.591103
234.375000	-63.102581
281.250000	-64.832382
328.125000	-66.907875
375.000000	-68.127365
421.875000	-68.913933
468.750000	-69.869354
515.625000	-70.722183
562.500000	-71.091507
609.375000	-71.489525
656.250000	-71.449348
703.125000	-71.227936
750.000000	-71.637444
796.875000	-72.269035
843.750000	-72.519814
890.625000	-72.295868
937.500000	-72.546677
984.375000	-72.758842
1031.250000	-73.347160
1078.125000	-73.921097
1125.000000	-73.612778
1171.875000	-73.883316
1218.750000	-74.529922
1265.625000	-74.843361
1312.500000	-74.804184
1359.375000	-75.202675
1406.250000	-75.459587
1453.125000	-75.729370
1500.000000	-75.756355
1546.875000	-75.848045
1593.750000	-76.081657
1640.625000	-76.250938
1687.500000	-76.769791
1734.375000	-77.505432
1781.250000	-77.053413
1828.125000	-77.254532
1875.000000	-77.215607
1921.875000	-77.608292
1968.750000	-78.199089
2015.625000	-78.326935
2062.500000	-78.325859
2109.375000	-78.107010
2156.250000	-78.419724
2203.125000	-78.285767
2250.000000	-78.401314
2296.875000	-78.496933
2343.750000	-78.856216
2390.625000	-78.957359
2437.500000	-78.655510
2484.375000	-78.702011
2531.250000	-78.683182
2578.125000	-78.683998
2625.000000	-78.481125
2671.875000	-78.488914
2718.750000	-78.362930
2765.625000	-78.406616
2812.500000	-78.719788
2859.375000	-78.808640
2906.250000	-78.419159
2953.125000	-78.959473
3000.000000	-78.858612
3046.875000	-78.769142
3093.750000	-78.878075
3140.625000	-79.031197
3187.500000	-78.911057
3234.375000	-78.533463
3281.250000	-78.542038
3328.125000	-78.916229
3375.000000	-78.857330
3421.875000	-78.548164
3468.750000	-78.381668
3515.625000	-79.090401
3562.500000	-78.988861
3609.375000	-79.364235
3656.250000	-79.391670
3703.125000	-79.227539
3750.000000	-79.286743
3796.875000	-79.164467
3843.750000	-79.390839
3890.625000	-79.785141
3937.500000	-79.642387
3984.375000	-80.002808
4031.250000	-80.023781
4078.125000	-79.926224
4125.000000	-79.975594
4171.875000	-80.023956
4218.750000	-80.194298
4265.625000	-80.134575
4312.500000	-80.070351
4359.375000	-80.380379
4406.250000	-80.302574
4453.125000	-80.549637
4500.000000	-80.563210
4546.875000	-80.269676
4593.750000	-80.727867
4640.625000	-80.768410
4687.500000	-81.012962
4734.375000	-80.504105
4781.250000	-80.610603
4828.125000	-80.652657
4875.000000	-80.701286
4921.875000	-81.125420
4968.750000	-81.026939
5015.625000	-81.498535
5062.500000	-81.322121
5109.375000	-81.293739
5156.250000	-81.052261
5203.125000	-80.723381
5250.000000	-81.081688
5296.875000	-81.523956
5343.750000	-81.817497
5390.625000	-82.231506
5437.500000	-82.238609
5484.375000	-82.071175
5531.250000	-82.501411
5578.125000	-82.764488
5625.000000	-82.551994
5671.875000	-82.592140
5718.750000	-82.696884
5765.625000	-82.832359
5812.500000	-82.627884
5859.375000	-82.712730
5906.250000	-82.930420
5953.125000	-83.023582
6000.000000	-83.171944
6046.875000	-83.238297
6093.750000	-83.362335
6140.625000	-83.586128
6187.500000	-83.737350
6234.375000	-83.824722
6281.250000	-83.781654
6328.125000	-83.761337
6375.000000	-83.858871
6421.875000	-84.480606
6468.750000	-84.213844
6515.625000	-84.323639
6562.500000	-84.799583
6609.375000	-84.910477
6656.250000	-84.815254
6703.125000	-85.150368
6750.000000	-85.227364
6796.875000	-85.037697
6843.750000	-85.080574
6890.625000	-85.548058
6937.500000	-85.865379
6984.375000	-86.068405
7031.250000	-86.112823
7078.125000	-86.021324
7125.000000	-86.239426
7171.875000	-86.613342
7218.750000	-86.629402
7265.625000	-86.831306
7312.500000	-86.724556
7359.375000	-86.695747
7406.250000	-87.146049
7453.125000	-87.627899
7500.000000	-87.316902
7546.875000	-87.257072
7593.750000	-87.461464
7640.625000	-88.217140
7687.500000	-88.052223
7734.375000	-87.798874
7781.250000	-87.782974
7828.125000	-88.048561
7875.000000	-88.399940
7921.875000	-88.758904
7968.750000	-88.457680
8015.625000	-88.425186
8062.500000	-88.756935
8109.375000	-88.656937
8156.250000	-88.730148
8203.125000	-88.919342
8250.000000	-88.984482
8296.875000	-88.940575
8343.750000	-89.313828
8390.625000	-89.111412
8437.500000	-89.259529
8484.375000	-89.689468
8531.250000	-89.308487
8578.125000	-89.068497
8625.000000	-88.965302
8671.875000	-89.373215
8718.750000	-89.744781
8765.625000	-89.350960
8812.500000	-89.523308
8859.375000	-89.509102
8906.250000	-89.533302
8953.125000	-89.946877
9000.000000	-90.194641
9046.875000	-90.555214
9093.750000	-90.613754
9140.625000	-90.446991
9187.500000	-90.558296
9234.375000	-90.330986
9281.250000	-90.213509
9328.125000	-90.121468
9375.000000	-90.309242
9421.875000	-90.910057
9468.750000	-91.148727
9515.625000	-90.761253
9562.500000	-90.702400
9609.375000	-91.115189
9656.250000	-91.354027
9703.125000	-91.145752
9750.000000	-91.379135
9796.875000	-91.525948
9843.750000	-91.460167
9890.625000	-91.703896
9937.500000	-91.494431
9984.375000	-91.378220
10031.250000	-91.225395
10078.125000	-90.993744
10125.000000	-90.868965
10171.875000	-91.202919
10218.750000	-91.447304
10265.625000	-91.495911
10312.500000	-91.960373
10359.375000	-92.213371
10406.250000	-91.902153
10453.125000	-92.175911
10500.000000	-92.150612
10546.875000	-92.186974
10593.750000	-92.567986
10640.625000	-92.693642
10687.500000	-92.668236
10734.375000	-92.856636
10781.250000	-93.292488
10828.125000	-93.283813
10875.000000	-93.266441
10921.875000	-93.701668
10968.750000	-93.960403
11015.625000	-93.844383
11062.500000	-94.110146
11109.375000	-94.421944
11156.250000	-94.941872
11203.125000	-94.539856
11250.000000	-94.589638
11296.875000	-95.148674
11343.750000	-95.351105
11390.625000	-95.245056
11437.500000	-95.572891
11484.375000	-95.435616
11531.250000	-95.403633
11578.125000	-95.879639
11625.000000	-95.978806
11671.875000	-96.162544
11718.750000	-96.381256
11765.625000	-96.506203
11812.500000	-96.626053
11859.375000	-96.818192
11906.250000	-96.937332
11953.125000	-97.028450
12000.000000	-97.281013
12046.875000	-97.418983
12093.750000	-97.811523
12140.625000	-97.935455
12187.500000	-98.146362
12234.375000	-98.167915
12281.250000	-98.421364
12328.125000	-98.454071
12375.000000	-98.482727
12421.875000	-98.399307
12468.750000	-98.725792
12515.625000	-98.873642
12562.500000	-98.996841
12609.375000	-98.901970
12656.250000	-99.505325
12703.125000	-99.495468
12750.000000	-99.807594
12796.875000	-100.034775
12843.750000	-99.929153
12890.625000	-100.018532
12937.500000	-100.726906
12984.375000	-100.733315
13031.250000	-100.894630
13078.125000	-100.956009
13125.000000	-101.037315
13171.875000	-101.431198
13218.750000	-101.332207
13265.625000	-101.218155
13312.500000	-101.674088
13359.375000	-101.934563
13406.250000	-102.041382
13453.125000	-102.068359
13500.000000	-102.233589
13546.875000	-102.833076
13593.750000	-102.905396
13640.625000	-102.718094
13687.500000	-102.746208
13734.375000	-103.006325
13781.250000	-103.109993
13828.125000	-103.766838
13875.000000	-103.906219
13921.875000	-103.792961
13968.750000	-103.553642
14015.625000	-103.524246
14062.500000	-103.977180
14109.375000	-104.052994
14156.250000	-104.554764
14203.125000	-104.713196
14250.000000	-104.913483
14296.875000	-104.859062
14343.750000	-105.057205
14390.625000	-104.827454
14437.500000	-105.135735
14484.375000	-105.304100
14531.250000	-105.396706
14578.125000	-106.138435
14625.000000	-106.317543
14671.875000	-106.423119
14718.750000	-106.365059
14765.625000	-106.660088
14812.500000	-106.665627
14859.375000	-106.432007
14906.250000	-106.556343
14953.125000	-106.926544
15000.000000	-107.163971
15046.875000	-107.135071
15093.750000	-107.244713
15140.625000	-107.349319
15187.500000	-107.199135
15234.375000	-107.169014
15281.250000	-107.450943
15328.125000	-107.780525
15375.000000	-107.933853
15421.875000	-108.091316
15468.750000	-108.436569
15515.625000	-107.838936
15562.500000	-107.935448
15609.375000	-108.294693
15656.250000	-108.564865
15703.125000	-108.510559
15750.000000	-108.554474
15796.875000	-108.732185
15843.750000	-108.922737
15890.625000	-109.080666
15937.500000	-109.690887
15984.375000	-110.626541
16031.250000	-113.529831
16078.125000	-115.679726
16125.000000	-115.436089
16171.875000	-115.453171
16218.750000	-116.153664
16265.625000	-115.485992
16312.500000	-115.846497
16359.375000	-115.946022
16406.250000	-114.574898
16453.125000	-114.857536
16500.000000	-116.434929
16546.875000	-117.501579
16593.750000	-118.566444
16640.625000	-120.886810
16687.500000	-119.199150
16734.375000	-117.551926
16781.250000	-118.792511
16828.125000	-120.890091
16875.000000	-119.215652
16921.875000	-117.309151
16968.750000	-118.267036
17015.625000	-121.133789
17062.500000	-122.533310
17109.375000	-125.147293
17156.250000	-122.701569
17203.125000	-122.381004
17250.000000	-122.247147
17296.875000	-121.046822
17343.750000	-120.840874
17390.625000	-123.738846
17437.500000	-128.207611
17484.375000	-126.063828
17531.250000	-123.821968
17578.125000	-123.291512
17625.000000	-122.491951
17671.875000	-124.537964
17718.750000	-130.778290
17765.625000	-129.816513
